date,a00,a02,a05,a10,a15,a30,a45,a60,t00,t02,t05,t10,t15,t30,t45,t60,tsum
20070228,717567,7200,5155,3899,5476,0,0,0,1,0,5,6,1,0,0,0,13
20070301,663796,17589,21433,9431,15604,11444,0,0,0,1,0,2,6,36,0,0,45
20070302,735962,1164,2171,0,0,0,0,0,1,0,0,0,0,0,0,0,1
20070303,739297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20070304,739297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20070305,739297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20070306,739297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20070307,739297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20070308,739297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20070309,739297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20070310,739297,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
20070311,732766,4868,1663,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20070312,739297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20070313,732023,7274,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
20070314,726227,11509,1561,0,0,0,0,0,0,2,0,0,0,0,0,0,2
20070315,739297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20070316,733753,4293,1251,0,0,0,0,0,1,0,0,0,0,0,0,0,1
20070317,739297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20070318,739297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20070319,739297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20070320,739297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20070321,727133,8303,3861,0,0,0,0,0,0,1,0,0,0,0,0,0,1
20070322,735449,3848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20070323,709013,19495,6879,3910,0,0,0,0,0,2,4,13,0,0,0,0,19
20070324,718597,10785,5895,4020,0,0,0,0,0,0,4,3,0,0,0,0,7
20070325,725528,5201,3793,1492,3283,0,0,0,4,0,0,0,0,0,0,0,4
20070326,728755,5466,5076,0,0,0,0,0,0,0,3,0,0,0,0,0,3
20070327,735991,3306,0,0,0,0,0,0,3,1,0,0,0,0,0,0,4
20070328,707769,13148,6368,4214,7798,0,0,0,2,1,5,2,55,0,0,0,65
20070329,709568,27116,2613,0,0,0,0,0,0,3,0,0,0,0,0,0,3
20070330,715849,7556,5007,6321,4564,0,0,0,0,4,1,6,3,0,0,0,14
20070331,690146,13702,29000,6449,0,0,0,0,0,0,3,2,0,0,0,0,5
20070401,719943,19354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20070402,724816,11774,2707,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20070403,689605,29784,13349,6559,0,0,0,0,0,11,2,2,0,0,0,0,15
20070404,738454,843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20070405,738835,462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20070406,739297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20070407,739297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20070408,739297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20070409,739297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20070410,736231,3066,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
20070411,705634,23281,10382,0,0,0,0,0,0,0,9,0,0,0,0,0,9
20070412,734724,4573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20070413,719398,5802,4937,2978,6182,0,0,0,0,0,2,0,5,0,0,0,7
20070414,706279,8745,6445,7535,10293,0,0,0,1,0,3,1,16,0,0,0,21
20070415,726884,3110,5640,3663,0,0,0,0,7,2,0,0,0,0,0,0,9
20070416,739297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20070417,727340,11957,0,0,0,0,0,0,4,4,0,0,0,0,0,0,8
20070418,739297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20070419,739297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20070420,735965,3332,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
20070421,705269,13682,12451,7895,0,0,0,0,1,4,7,12,0,0,0,0,24
20070422,719812,12028,6634,823,0,0,0,0,0,1,0,0,0,0,0,0,1
20070423,722018,7027,5048,5204,0,0,0,0,1,9,3,10,0,0,0,0,24
20070424,679804,13808,15803,11053,18829,0,0,0,0,10,0,0,13,0,0,0,24
20070425,700863,24961,13473,0,0,0,0,0,2,1,0,0,0,0,0,0,3
20070426,721437,12412,5448,0,0,0,0,0,6,1,4,0,0,0,0,0,11
20070427,732626,5253,1418,0,0,0,0,0,2,0,1,0,0,0,0,0,3
20070428,736828,2469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20070429,733534,2999,2764,0,0,0,0,0,1,1,2,0,0,0,0,0,4
20070430,730831,7168,1298,0,0,0,0,0,2,0,1,0,0,0,0,0,3
20070501,714801,17300,7196,0,0,0,0,0,4,2,4,0,0,0,0,0,10
20070502,725213,7464,6620,0,0,0,0,0,2,1,5,0,0,0,0,0,8
20070503,703028,27081,9188,0,0,0,0,0,1,7,5,0,0,0,0,0,13
20070504,703657,16514,12176,3115,3835,0,0,0,5,0,1,5,21,0,0,0,32
20070505,707150,10800,8567,3554,5610,3616,0,0,3,8,30,9,14,28,0,0,92
20070506,694876,28952,8645,4059,2765,0,0,0,0,5,3,2,4,0,0,0,14
20070507,718077,14328,6892,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20070508,725035,11474,2788,0,0,0,0,0,6,3,0,0,0,0,0,0,9
20070509,730102,9195,0,0,0,0,0,0,1,2,0,0,0,0,0,0,3
20070510,704716,34581,0,0,0,0,0,0,2,1,0,0,0,0,0,0,3
